DATE ; IP ; SOURCE ; DESTINATION ; PORT ; FLAG ; SEQ ; ACK ; WIN ; OPTIONS ; VAL ; ECR ; LENGTH
07:48:32.671541; ;BP-Linux8.ssh;192.168.190.222;61604:;P.;889:925;116;293;nopnopTS;136698215;2033250543;36
07:48:32.671567; ;128.1.77.226.1916;52.94.225.248;http:;S;214555224:214555344; ;512; ; ; ;120:
07:48:32.671596; ;128.1.77.226.1917;52.94.225.248;http:;S;1064706855:1064706975; ;512; ; ; ;120:
07:48:32.671617; ;128.1.77.226.1918;52.94.225.248;http:;S;1798564570:1798564690; ;512; ; ; ;120:
07:48:32.671634; ;128.1.77.226.1919;52.94.225.248;http:;S;994118956:994119076; ;512; ; ; ;120:
07:48:32.671650; ;128.1.77.226.1920;52.94.225.248;http:;S;283660485:283660605; ;512; ; ; ;120:
07:48:32.671667; ;128.1.77.226.1921;52.94.225.248;http:;S;1439544296:1439544416; ;512; ; ; ;120:
07:48:32.671685; ;128.1.77.226.1922;52.94.225.248;http:;S;471526959:471527079; ;512; ; ; ;120:
07:48:32.671702; ;128.1.77.226.1923;52.94.225.248;http:;S;562616629:562616749; ;512; ; ; ;120:
07:48:32.671719; ;128.1.77.226.1924;52.94.225.248;http:;S;1195311597:1195311717; ;512; ; ; ;120:
07:48:32.671736; ;128.1.77.226.1925;52.94.225.248;http:;S;1305113934:1305114054; ;512; ; ; ;120:
07:48:32.671753; ;128.1.77.226.1926;52.94.225.248;http:;S;1657168826:1657168946; ;512; ; ; ;120:
07:48:32.671770; ;128.1.77.226.1927;52.94.225.248;http:;S;1942941601:1942941721; ;512; ; ; ;120:
07:48:32.671787; ;128.1.77.226.1928;52.94.225.248;http:;S;1456844021:1456844141; ;512; ; ; ;120:
07:48:32.671804; ;128.1.77.226.1929;52.94.225.248;http:;S;1260143466:1260143586; ;512; ; ; ;120:
07:48:32.671821; ;128.1.77.226.1930;52.94.225.248;http:;S;1880197655:1880197775; ;512; ; ; ;120:
07:48:32.671838; ;128.1.77.226.1931;52.94.225.248;http:;S;848468681:848468801; ;512; ; ; ;120:
07:48:32.671855; ;128.1.77.226.1932;52.94.225.248;http:;S;49400564:49400684; ;512; ; ; ;120:
07:48:32.671872; ;128.1.77.226.1933;52.94.225.248;http:;S;729393205:729393325; ;512; ; ; ;120:
07:48:32.671888; ;128.1.77.226.1934;52.94.225.248;http:;S;1380170792:1380170912; ;512; ; ; ;120:
07:48:32.671905; ;128.1.77.226.1935;52.94.225.248;http:;S;2143860630:2143860750; ;512; ; ; ;120:
07:48:32.671922; ;128.1.77.226.1936;52.94.225.248;http:;S;10061008:10061128; ;512; ; ; ;120:
07:48:32.671939; ;128.1.77.226.1937;52.94.225.248;http:;S;366589022:366589142; ;512; ; ; ;120:
